Title,Author,Category,Publication Year,ISBN,Status,Student Name,Issue_Date,Returned_Date,Condition
Goat Brothers,"Colton, Larry",Fiction,1997,2051802512,Returned,,,,Good
The Missing Person,"Grumbach, Doris",Biography,2014,9963334018,Issued,Student 17,08-01-2024,11-01-2024,Lost
Don't Eat Your Heart Out Cookbook,"Piscatella, Joseph C.",Fantasy,2018,9703905715,Available,,,,Good
When Your Corporate Umbrella Begins to Leak: A Handbook for White Collar Re-Employment,"Davis, Paul D.",Biography,2014,2801823908,Issued,Student 143,02-01-2024,27-01-2024,Good
Amy Spangler's Breastfeeding : A Parent's Guide,"Spangler, Amy",History,2001,2193448329,Available,,,,Damaged
The Foundation of Leadership: Enduring Principles to Govern Our Lives,"Short, Bo",Fiction,1985,2631775357,Issued,Student 177,03-06-2024,12-06-2024,Good
Chicken Soup for the Soul: 101 Stories to Open the Heart and Rekindle the Spirit,"Canfield, Jack (COM) and Hansen, Mark Victor (COM)",History,2014,9256195745,Returned,,,,To Be Replaced
Journey Through Heartsongs,"Stepanek, Mattie J. T.",Technology,2020,8995970241,Available,,,,Damaged
In Search of Melancholy Baby,"Aksyonov, Vassily, Heim, Michael Henry, and Bouis, Antonina W.",Fiction,2022,5728765136,Issued,Student 233,11-06-2024,08-07-2024,To Be Replaced
Christmas Cookies,"Eakin, Katherine M. and Deaman, Joane (EDT)",Science,2002,3783290795,Available,,,,Damaged
The Dieter's Guide to Weight Loss During Sex,"Smith, Richard",Non-Fiction,1990,7280359794,Issued,Student 286,26-02-2024,19-03-2024,To Be Replaced
Germs : Biological Weapons and America's Secret War,"Miller, Judith, Engelberg, Stephen, and Broad, William J.",Technology,1983,6649827836,Issued,Student 34,24-02-2024,25-03-2024,Good
The Genesis of Ethics,"Visotzky, Burton L.",Science,1993,8110054933,Issued,Student 235,06-02-2024,15-02-2024,Good
The Good Book: Reading the Bible with Mind and Heart,"Gomes, Peter J.",Biography,2015,7609857128,Issued,Student 299,12-04-2024,24-04-2024,Good
All over but the Shoutin',"Bragg, Rick",Fantasy,2011,1470939445,Returned,,,,Good
Oilers and Sweepers and Other Stories,"Dennison, George",Fantasy,1984,6947530309,Issued,Student 271,05-03-2024,23-03-2024,Damaged
Prince William,"Garner, Valerie",Biography,1987,8047877267,Available,,,,To Be Replaced
The Emperor's New Mind,"Penrose, Roger",Non-Fiction,2009,8385972235,Returned,,,,Damaged
Touching Fire: Erotic Writings by Women,"Thornton, Louise, Sturtevant, Jan, and Sumrall, Amber Coverdale (EDT)",Technology,2020,3615507143,Available,,,,Good
Hill Rat: Blowing the Lid Off Congress,"Jackley, John L.",Non-Fiction,2014,4944899549,Issued,Student 251,05-01-2024,09-01-2024,Good
The Great ABC Treasure Hunt: A Hidden Picture Alphabet Book (Time-Life Early Learning Program),"Time-Life for Children (Firm) (COR), Singer, Muff, and Hoggan, Pat (ILT)",Non-Fiction,1983,1338258951,Issued,Student 36,13-07-2024,31-07-2024,Lost
Personality of the Cat,"Aymar, Brandt (EDT)",Non-Fiction,2022,3361388464,Issued,Student 271,04-06-2024,18-06-2024,Damaged
Murdering Mr. Monti: A Merry Little Tale of Sex and Violence,"Viorst, Judith",Technology,1992,8357059814,Issued,Student 192,22-04-2024,21-05-2024,To Be Replaced
In Re Alger Hiss:  Petition for a Writ of Error Coram Nobis,Edith Tiger,Fiction,1995,1965067727,Issued,Student 11,30-05-2024,17-06-2024,Damaged
Black Holes and Baby Universes and Other Essays,"Hawking, Stephen W.",Non-Fiction,1980,9894847574,Available,,,,Damaged
Relativity: The Special and the General Theory,Albert Einstein,Fiction,2001,9894264595,Returned,,,,To Be Replaced
Betrayal : How the Clinton Administration Undermined American Security,"Gertz, Bill",History,1993,3315992115,Issued,Student 125,19-07-2024,04-08-2024,Damaged
Shadow Song,"Kay, Terry",Fiction,1986,8125276666,Issued,Student 217,15-04-2024,30-04-2024,Good
Undercurrents: A Therapist's Reckoning With Her Own Depression,"Manning, Martha",Biography,2021,1422701550,Issued,Student 174,28-01-2024,05-02-2024,To Be Replaced
The Road Less Traveled and Beyond: Spiritual Growth in an Age of Anxiety,"Peck, M. Scott",Fantasy,2008,5897045684,Available,,,,Damaged
The Kiss: A Memoir,"Harrison, Kathryn",Non-Fiction,1984,3363629219,Available,,,,Lost
Codebreakers' Victory: How the Allied Cryptogaphers Won World War II,"Haufler, Hervie",Technology,1980,5161807235,Available,,,,To Be Replaced
"A Manual for Writers of Term Papers, Theses, and Dissertations, Fifth Edition","Turabian, Kate L.",History,2010,1251837136,Issued,Student 2,09-04-2024,18-04-2024,Good
"The Price of Loyalty: George W. Bush, the White House, and the Education of Paul O'Neill","Suskind, Ron",History,2015,3090237817,Returned,,,,Lost
Best New American Voices 2003,"Kulka, John (EDT), Danford, Natalie (EDT), and Oates, Joyce Carol (EDT)",Fiction,2017,9851745355,Issued,Student 30,13-01-2024,01-02-2024,Lost
Escape from the CIA: How the CIA Won and Lost the Most Important KGB Spy Ever to Defect to the U.S.,"Kessler, Ronald",Technology,2013,1676168421,Available,,,,Lost
Meditations: On the Monk Who Dwells in Daily Life,"Moore, Thomas",Fantasy,1984,6305160342,Returned,,,,Damaged
Links Lore,"Stevens, Peter F.",Fantasy,2018,9760623742,Available,,,,Lost
Jackie by Josie: A Novel,"Preston, Caroline",Fantasy,2016,7540301973,Issued,Student 105,20-06-2024,13-07-2024,To Be Replaced
Joshua and the City,"Girzone, Joseph F.",Science,2005,8067372072,Issued,Student 162,11-07-2024,10-08-2024,Lost
The Book of Courtly Love: The Passionate Code of the Troubadours,"Hopkins, Andrea",History,2019,5278201677,Returned,,,,To Be Replaced
How Good Do We Have to Be? A New Understanding of Guilt and Forgiveness,"Kushner, Harold S.",Fantasy,1996,6344160868,Issued,Student 81,22-04-2024,19-05-2024,To Be Replaced
